candidate,family,target_form,feature_set,complexity,description,rows,independent_building_cycles,rmse_g,cycle_macro_rmse_g,mae_g,cycle_macro_mae_g,r2,bias_g,within_100g_rate,within_200g_rate,worst_cycle_rmse_g,fold_rmse_sd_g,fold_rmse_se_g,target_side_accuracy,majority_side_accuracy,below_target_recall,at_or_above_target_recall,actual_target_hits,rmse_95ci_low_g,rmse_95ci_high_g,r2_95ci_low,r2_95ci_high,rank
direct_poultry_core_ridge,ridge,direct,poultry_core,4,Regularized direct model using a compact biologically selected environmental feature set,124,31,188.77531218853207,164.29057535391544,153.07443676327904,142.6218507222741,0.08493281648146123,31.99553577923821,0.41935483870967744,0.6451612903225806,259.55204984634156,77.43635311009932,31.61325877695409,0.967741935483871,0.967741935483871,1.0,0.0,1,117.7267692896727,232.59995182090807,-0.4191112685668126,0.1578708239580361,15
direct_xgboost_growth,xgboost,direct,compact,7,Regularized XGBoost using observed growth and flock-state features,124,31,200.77104090423344,164.58219258142205,154.99621428458917,140.7489987182617,-0.035058098478507826,13.324101286857358,0.4596774193548387,0.6370967741935484,285.03371822049724,99.77404961715767,40.73258518886127,0.967741935483871,0.967741935483871,1.0,0.0,1,125.91399242121547,248.9567324567447,-0.5985000302299951,0.1854664640757736,16
direct_extra_trees_poultry,extra_trees,direct,poultry,6,Extra Trees with poultry-specific target-deficit and environmental exposure features,124,31,195.721704994064,164.85952822987,153.90691778543595,140.41041376293197,0.01635006578024656,29.923396496944363,0.41935483870967744,0.6854838709677419,252.9200605570117,89.6899910044606,36.61578549929029,0.967741935483871,0.967741935483871,1.0,0.0,1,132.3788566802525,234.83340383181655,-0.5017052962102848,0.07045145148383403,17
direct_catboost_poultry,catboost,direct,poultry_core,8,Regularized CatBoost using compact poultry-environment features,124,31,203.1983896801651,165.40346525536603,153.72099800884996,139.29548582010074,-0.0602373764002726,25.705836176760933,0.47580645161290325,0.6290322580645161,282.00265824376277,103.04467413245798,42.067812055981825,0.967741935483871,0.967741935483871,1.0,0.0,1,126.55317224184493,251.15144729534074,-0.5480453647854597,0.06902254817095178,18
direct_xgboost_poultry,xgboost,direct,poultry_core,8,Regularized XGBoost using compact poultry-environment features,124,31,204.37403445946546,165.79202009964914,156.99458074754278,141.74307692464188,-0.07254129639746165,14.897081613848286,0.45161290322580644,0.6370967741935484,284.3090927818554,104.51457873834349,42.66789809847954,0.967741935483871,0.967741935483871,1.0,0.0,1,128.068414554694,250.77317315870872,-0.6174111243224901,0.11067379799612014,19
remaining_extra_trees_poultry,extra_trees,remaining,poultry,6,Extra Trees for remaining gain with poultry-specific features,124,31,186.04694291569527,166.36894198324453,146.5900522181266,137.98116874658066,0.11119259782579771,28.303953120955082,0.4274193548387097,0.7258064516129032,257.7851657374083,68.09588035742608,27.80002674355095,0.9758064516129032,0.967741935483871,0.9916666666666667,0.5,1,123.93696575696416,226.41434824539087,-0.35561827921231337,0.2098279112409891,20
direct_gradient_boosting_poultry,gradient_boosting,direct,poultry,7,Gradient boosting with poultry-specific target-deficit and environmental exposure features,124,31,200.94629744208342,167.56002062658348,156.94371129426966,142.22958193401558,-0.03686592765456842,23.470130223008496,0.4112903225806452,0.6290322580645161,255.68960294441055,94.94590972839664,38.76150533315419,0.967741935483871,0.967741935483871,1.0,0.0,1,139.49201719519903,238.11739810292144,-0.6842978455338514,0.0726766812335028,21
direct_huber_compact,huber,direct,compact,4,Robust regression using compact growth and flock-state features,124,31,173.7796448064139,167.66229585845005,137.03942262530484,137.1538000589911,0.22453822140399193,1.8689670169166965,0.4596774193548387,0.7338709677419355,215.83388147464024,44.19860105829101,18.044003322941595,0.9596774193548387,0.967741935483871,0.9666666666666667,0.75,1,138.30297320342464,201.27915670931955,-1.0757495753854145,0.38526520155699395,22
direct_lightgbm_poultry,lightgbm,direct,poultry_core,8,Regularized LightGBM using compact poultry-environment features,124,31,206.8736697915442,167.8408193003198,158.3788913751853,142.97450832247986,-0.09893757647462498,15.735821261552518,0.45161290322580644,0.6451612903225806,285.05264097123774,105.78484260603656,43.18648115090325,0.967741935483871,0.967741935483871,1.0,0.0,1,130.48049978752323,254.02176685653782,-0.6410745261144535,0.0695016290478203,23
direct_trajectory_pls,pls,direct,trajectory,2,One-component partial least squares growth-trajectory model,124,31,177.00244284788846,170.10136392801002,148.88898172199126,151.44724022358332,0.19550915385453738,12.36715417175611,0.3467741935483871,0.6935483870967742,226.63289660713096,58.4443348846379,23.859799803950935,0.9193548387096774,0.967741935483871,0.95,0.0,1,135.95111400147277,207.7860333786547,-1.1169269069514232,0.35063615641808066,24
direct_random_forest,random_forest,direct,extended,6,Constrained random forest using extended features,124,31,197.17311653695526,170.80005319009538,158.0118922637491,145.78298792002673,0.0017070859605494704,22.985863528007847,0.3629032258064516,0.7016129032258065,253.05407986732297,80.95719799624955,33.05063768271336,0.967741935483871,0.967741935483871,1.0,0.0,1,131.65866335308584,235.03540192623933,-0.8372269136505428,0.19918651453804637,25
direct_hist_gradient_boosting_poultry,hist_gradient_boosting,direct,poultry,7,Histogram gradient boosting with poultry-specific features and native small-sample regularization,124,31,207.03087890774665,172.19556920127684,161.7468683518931,148.56163471408354,-0.10060843820454068,10.74473506102881,0.49193548387096775,0.6451612903225806,282.4153858019295,98.69514264465809,40.29212326176877,0.967741935483871,0.967741935483871,1.0,0.0,1,132.03434832336816,252.68035382727615,-0.6850907856559798,0.07905520960515955,26
direct_random_forest_poultry,random_forest,direct,poultry,7,Random forest with poultry-specific target-deficit and environmental exposure features,124,31,207.21384908930378,174.39037801962846,162.90960795099872,148.4621461455735,-0.10255469389539273,25.532699267591337,0.4032258064516129,0.6290322580645161,269.06543477552026,95.01287913391249,38.78884547846942,0.967741935483871,0.967741935483871,1.0,0.0,1,137.9324709667363,247.69855549142608,-0.8121302935206669,0.0545512624765209,27
direct_poultry_core_pls,pls_multi,direct,poultry_core,4,Low-rank partial least squares model using compact poultry features,124,31,205.99783920016674,195.38388138075106,177.05561718641064,172.97029454276927,-0.08965224073952993,34.10140553545266,0.23387096774193547,0.6612903225806451,252.92061505891456,47.91524119843794,19.56131530642595,0.9516129032258065,0.967741935483871,0.9833333333333333,0.0,1,166.27719107136036,234.715358923801,-1.2574907183892348,0.0882298817252497,28
target_gap_preserving,target_gain,direct,current,0,Naive projection: add the farm target curve's remaining gain while preserving today's target deficit,124,31,219.00104783406712,211.1023699851397,172.14782258064514,172.03019444444445,-0.23155829025075847,130.23217741935485,0.3548387096774194,0.6612903225806451,291.0627766837136,48.899469639134594,19.963124884766273,0.967741935483871,0.967741935483871,0.9833333333333333,0.5,1,175.57131906809366,256.84774494500306,-1.676880743958308,0.08373532982996268,29
historical_growth_ratio,historical_ratio,direct,current,0,Naive projection: current weight multiplied by the fold-local historical checkpoint-to-Day-35 ratio,124,31,270.646776163011,270.0197712080528,223.94596938247722,241.7867503613885,-0.8809112460084376,44.04035107252886,0.23387096774193547,0.5,487.5597954267222,121.19705130557695,49.47848900476289,0.8225806451612904,0.967741935483871,0.825,0.75,1,195.05618434138208,354.30547897858196,-7.283770567455683,0.12149780764739748,30
target_curve_pace,pace,direct,current,1,Current target-relative pace projected to Day 35,124,31,339.489302482034,320.99797231972724,284.363993183861,271.2339519263846,-1.9594756727630998,-246.31512071806648,0.1935483870967742,0.41935483870967744,415.1408259354463,76.91949531136193,31.402252464206637,0.967741935483871,0.967741935483871,0.9833333333333333,0.5,1,287.64449916142615,379.68130906181227,-6.664923756380345,-1.1753536288903481,31
